url,type,parser,algorithm,prediction,prediction_binary,prediction_label,expected,correct,error_type
https://bandbsmengine.com,phishing,parser1,BC,1,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://bandbsmengine.com,phishing,parser1,KNN,-1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser1,LR,1,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://bandbsmengine.com,phishing,parser1,NW,1,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://bandbsmengine.com,phishing,parser1,RF,-1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser2,BC,1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser2,KNN,1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser2,LR,1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser2,NW,1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser2,RF,1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser4,BC,0,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://bandbsmengine.com,phishing,parser4,KNN,0,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://bandbsmengine.com,phishing,parser4,LR,1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser4,NW,1,1,ФИШИНГ,1,True,Все хорошо
https://bandbsmengine.com,phishing,parser4,RF,1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser1,BC,-1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser1,KNN,-1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser1,LR,-1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser1,NW,-1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser1,RF,-1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser2,BC,1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser2,KNN,1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser2,LR,1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser2,NW,1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser2,RF,1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser4,BC,0,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
http://mass.gov-xgz.bond/rmv,phishing,parser4,KNN,0,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
http://mass.gov-xgz.bond/rmv,phishing,parser4,LR,1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser4,NW,1,1,ФИШИНГ,1,True,Все хорошо
http://mass.gov-xgz.bond/rmv,phishing,parser4,RF,1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser1,BC,1,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://fifiyiy.com/,phishing,parser1,KNN,-1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser1,LR,1,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://fifiyiy.com/,phishing,parser1,NW,1,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://fifiyiy.com/,phishing,parser1,RF,-1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser2,BC,1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser2,KNN,1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser2,LR,1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser2,NW,1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser2,RF,1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser4,BC,0,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://fifiyiy.com/,phishing,parser4,KNN,0,0,ЛЕГИТИМНЫЙ,1,False,Пропущенная угроза
https://fifiyiy.com/,phishing,parser4,LR,1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser4,NW,1,1,ФИШИНГ,1,True,Все хорошо
https://fifiyiy.com/,phishing,parser4,RF,1,1,ФИШИНГ,1,True,Все хорошо
